condition,qid,q_label,page_id,filename,gt,model,run,response,signed_error
naive,14,Unnamed travelers,23,AVS IS 758-781 1768 01 09.jpg,8,Claude,1,8,0
naive,15,Places of origin,23,AVS IS 758-781 1768 01 09.jpg,21,Claude,1,18,-3
naive,16,Unique places of stay,23,AVS IS 758-781 1768 01 09.jpg,7,Claude,1,6,-1
naive,18,Stay w/ person name,23,AVS IS 758-781 1768 01 09.jpg,6,Claude,1,5,-1
naive,19,Bracket total,23,AVS IS 758-781 1768 01 09.jpg,6,Claude,1,8,2
naive,7,Archivist marks,24,AVS IS 758-781 1768 01 16 p1.jpg,0,Claude,1,0,0
naive,8,Quondam count,24,AVS IS 758-781 1768 01 16 p1.jpg,0,Claude,1,0,0
naive,9,Con count,24,AVS IS 758-781 1768 01 16 p1.jpg,1,Claude,1,1,0
naive,11,E conjunction count,24,AVS IS 758-781 1768 01 16 p1.jpg,6,Claude,1,5,-1
naive,13,Named travelers,24,AVS IS 758-781 1768 01 16 p1.jpg,22,Claude,1,22,0
naive,14,Unnamed travelers,24,AVS IS 758-781 1768 01 16 p1.jpg,3,Claude,1,4,1
naive,15,Places of origin,24,AVS IS 758-781 1768 01 16 p1.jpg,13,Claude,1,12,-1
naive,16,Unique places of stay,24,AVS IS 758-781 1768 01 16 p1.jpg,7,Claude,1,6,-1
naive,18,Stay w/ person name,24,AVS IS 758-781 1768 01 16 p1.jpg,6,Claude,1,7,1
naive,19,Bracket total,24,AVS IS 758-781 1768 01 16 p1.jpg,4,Claude,1,6,2
naive,7,Archivist marks,25,AVS IS 758-781 1768 01 16 p2.jpg,1,Claude,1,0,-1
naive,8,Quondam count,25,AVS IS 758-781 1768 01 16 p2.jpg,0,Claude,1,0,0
naive,9,Con count,25,AVS IS 758-781 1768 01 16 p2.jpg,6,Claude,1,5,-1
naive,11,E conjunction count,25,AVS IS 758-781 1768 01 16 p2.jpg,0,Claude,1,2,2
naive,13,Named travelers,25,AVS IS 758-781 1768 01 16 p2.jpg,12,Claude,1,13,1
naive,14,Unnamed travelers,25,AVS IS 758-781 1768 01 16 p2.jpg,9,Claude,1,8,-1
naive,15,Places of origin,25,AVS IS 758-781 1768 01 16 p2.jpg,9,Claude,1,8,-1
naive,16,Unique places of stay,25,AVS IS 758-781 1768 01 16 p2.jpg,6,Claude,1,6,0
naive,18,Stay w/ person name,25,AVS IS 758-781 1768 01 16 p2.jpg,2,Claude,1,2,0
naive,19,Bracket total,25,AVS IS 758-781 1768 01 16 p2.jpg,2,Claude,1,4,2
naive,7,Archivist marks,26,AVS IS 758-781 1768 01 16 p3.jpg,0,Claude,1,0,0
naive,8,Quondam count,26,AVS IS 758-781 1768 01 16 p3.jpg,8,Claude,1,10,2
naive,9,Con count,26,AVS IS 758-781 1768 01 16 p3.jpg,2,Claude,1,4,2
naive,11,E conjunction count,26,AVS IS 758-781 1768 01 16 p3.jpg,4,Claude,1,3,-1
naive,13,Named travelers,26,AVS IS 758-781 1768 01 16 p3.jpg,24,Claude,1,28,4
naive,14,Unnamed travelers,26,AVS IS 758-781 1768 01 16 p3.jpg,6,Claude,1,6,0
naive,15,Places of origin,26,AVS IS 758-781 1768 01 16 p3.jpg,8,Claude,1,10,2
naive,16,Unique places of stay,26,AVS IS 758-781 1768 01 16 p3.jpg,13,Claude,1,8,-5
naive,18,Stay w/ person name,26,AVS IS 758-781 1768 01 16 p3.jpg,18,Claude,1,18,0
naive,19,Bracket total,26,AVS IS 758-781 1768 01 16 p3.jpg,1,Claude,1,2,1
naive,7,Archivist marks,27,AVS IS 758-781 1768 02 20.jpg,0,Claude,1,0,0
naive,8,Quondam count,27,AVS IS 758-781 1768 02 20.jpg,0,Claude,1,0,0
naive,9,Con count,27,AVS IS 758-781 1768 02 20.jpg,12,Claude,1,12,0
naive,11,E conjunction count,27,AVS IS 758-781 1768 02 20.jpg,3,Claude,1,8,5
naive,13,Named travelers,27,AVS IS 758-781 1768 02 20.jpg,35,Claude,1,35,0
naive,14,Unnamed travelers,27,AVS IS 758-781 1768 02 20.jpg,17,Claude,1,18,1
naive,15,Places of origin,27,AVS IS 758-781 1768 02 20.jpg,15,Claude,1,12,-3
naive,16,Unique places of stay,27,AVS IS 758-781 1768 02 20.jpg,5,Claude,1,6,1
naive,18,Stay w/ person name,27,AVS IS 758-781 1768 02 20.jpg,2,Claude,1,3,1
naive,19,Bracket total,27,AVS IS 758-781 1768 02 20.jpg,7,Claude,1,10,3
naive,7,Archivist marks,6,AVS IS 758-781 1768 03 26.jpg,2,Claude,1,2,0
naive,8,Quondam count,6,AVS IS 758-781 1768 03 26.jpg,2,Claude,1,0,-2
naive,9,Con count,6,AVS IS 758-781 1768 03 26.jpg,8,Claude,1,8,0
naive,11,E conjunction count,6,AVS IS 758-781 1768 03 26.jpg,2,Claude,1,3,1
naive,13,Named travelers,6,AVS IS 758-781 1768 03 26.jpg,26,Claude,1,22,-4
naive,14,Unnamed travelers,6,AVS IS 758-781 1768 03 26.jpg,10,Claude,1,12,2
naive,15,Places of origin,6,AVS IS 758-781 1768 03 26.jpg,15,Claude,1,15,0
naive,16,Unique places of stay,6,AVS IS 758-781 1768 03 26.jpg,7,Claude,1,10,3
naive,18,Stay w/ person name,6,AVS IS 758-781 1768 03 26.jpg,6,Claude,1,4,-2
naive,19,Bracket total,6,AVS IS 758-781 1768 03 26.jpg,4,Claude,1,5,1
naive,7,Archivist marks,7,AVS IS 758-781 1768 05 02.jpg,1,Claude,1,1,0
naive,8,Quondam count,7,AVS IS 758-781 1768 05 02.jpg,1,Claude,1,2,1
naive,9,Con count,7,AVS IS 758-781 1768 05 02.jpg,2,Claude,1,2,0
naive,11,E conjunction count,7,AVS IS 758-781 1768 05 02.jpg,0,Claude,1,0,0
naive,13,Named travelers,7,AVS IS 758-781 1768 05 02.jpg,6,Claude,1,8,2
naive,14,Unnamed travelers,7,AVS IS 758-781 1768 05 02.jpg,2,Claude,1,2,0
naive,15,Places of origin,7,AVS IS 758-781 1768 05 02.jpg,4,Claude,1,4,0
naive,16,Unique places of stay,7,AVS IS 758-781 1768 05 02.jpg,3,Claude,1,3,0
naive,18,Stay w/ person name,7,AVS IS 758-781 1768 05 02.jpg,3,Claude,1,3,0
naive,19,Bracket total,7,AVS IS 758-781 1768 05 02.jpg,2,Claude,1,2,0
naive,7,Archivist marks,9,AVS IS 758-781 1768 05 08 p2.jpg,0,Claude,1,0,0
naive,8,Quondam count,9,AVS IS 758-781 1768 05 08 p2.jpg,12,Claude,1,12,0
naive,9,Con count,9,AVS IS 758-781 1768 05 08 p2.jpg,3,Claude,1,3,0
naive,11,E conjunction count,9,AVS IS 758-781 1768 05 08 p2.jpg,4,Claude,1,5,1
naive,13,Named travelers,9,AVS IS 758-781 1768 05 08 p2.jpg,33,Claude,1,35,2
naive,14,Unnamed travelers,9,AVS IS 758-781 1768 05 08 p2.jpg,11,Claude,1,8,-3
naive,15,Places of origin,9,AVS IS 758-781 1768 05 08 p2.jpg,21,Claude,1,18,-3
naive,16,Unique places of stay,9,AVS IS 758-781 1768 05 08 p2.jpg,6,Claude,1,6,0
naive,18,Stay w/ person name,9,AVS IS 758-781 1768 05 08 p2.jpg,1,Claude,1,1,0
naive,19,Bracket total,9,AVS IS 758-781 1768 05 08 p2.jpg,2,Claude,1,4,2
naive,7,Archivist marks,10,AVS IS 758-781 1768 05 08 p3.jpg,1,Claude,1,0,-1
naive,8,Quondam count,10,AVS IS 758-781 1768 05 08 p3.jpg,5,Claude,1,5,0
naive,9,Con count,10,AVS IS 758-781 1768 05 08 p3.jpg,15,Claude,1,12,-3
naive,11,E conjunction count,10,AVS IS 758-781 1768 05 08 p3.jpg,3,Claude,1,7,4
naive,13,Named travelers,10,AVS IS 758-781 1768 05 08 p3.jpg,53,Claude,1,52,-1
naive,14,Unnamed travelers,10,AVS IS 758-781 1768 05 08 p3.jpg,26,Claude,1,28,2
naive,15,Places of origin,10,AVS IS 758-781 1768 05 08 p3.jpg,19,Claude,1,15,-4
naive,16,Unique places of stay,10,AVS IS 758-781 1768 05 08 p3.jpg,10,Claude,1,9,-1
naive,18,Stay w/ person name,10,AVS IS 758-781 1768 05 08 p3.jpg,2,Claude,1,3,1
naive,19,Bracket total,10,AVS IS 758-781 1768 05 08 p3.jpg,10,Claude,1,12,2
naive,7,Archivist marks,11,AVS IS 758-781 1768 05 08 p4.jpg,1,Claude,1,0,-1
naive,8,Quondam count,11,AVS IS 758-781 1768 05 08 p4.jpg,11,Claude,1,12,1
naive,9,Con count,11,AVS IS 758-781 1768 05 08 p4.jpg,15,Claude,1,10,-5
naive,11,E conjunction count,11,AVS IS 758-781 1768 05 08 p4.jpg,8,Claude,1,5,-3
naive,13,Named travelers,11,AVS IS 758-781 1768 05 08 p4.jpg,62,Claude,1,72,10
naive,14,Unnamed travelers,11,AVS IS 758-781 1768 05 08 p4.jpg,33,Claude,1,18,-15
naive,15,Places of origin,11,AVS IS 758-781 1768 05 08 p4.jpg,22,Claude,1,28,6
naive,16,Unique places of stay,11,AVS IS 758-781 1768 05 08 p4.jpg,8,Claude,1,8,0
naive,18,Stay w/ person name,11,AVS IS 758-781 1768 05 08 p4.jpg,4,Claude,1,2,-2
naive,19,Bracket total,11,AVS IS 758-781 1768 05 08 p4.jpg,11,Claude,1,10,-1
naive,7,Archivist marks,12,AVS IS 758-781 1768 05 08 p5.jpg,1,Claude,1,1,0
naive,8,Quondam count,12,AVS IS 758-781 1768 05 08 p5.jpg,2,Claude,1,3,1
naive,9,Con count,12,AVS IS 758-781 1768 05 08 p5.jpg,9,Claude,1,8,-1
naive,11,E conjunction count,12,AVS IS 758-781 1768 05 08 p5.jpg,7,Claude,1,5,-2
naive,13,Named travelers,12,AVS IS 758-781 1768 05 08 p5.jpg,38,Claude,1,35,-3
naive,14,Unnamed travelers,12,AVS IS 758-781 1768 05 08 p5.jpg,18,Claude,1,12,-6
naive,15,Places of origin,12,AVS IS 758-781 1768 05 08 p5.jpg,17,Claude,1,15,-2
naive,16,Unique places of stay,12,AVS IS 758-781 1768 05 08 p5.jpg,6,Claude,1,7,1
naive,18,Stay w/ person name,12,AVS IS 758-781 1768 05 08 p5.jpg,2,Claude,1,2,0
naive,19,Bracket total,12,AVS IS 758-781 1768 05 08 p5.jpg,6,Claude,1,6,0
naive,7,Archivist marks,8,AVS IS 758-781 1768 05 08.jpg,1,Claude,1,0,-1
naive,8,Quondam count,8,AVS IS 758-781 1768 05 08.jpg,6,Claude,1,10,4
naive,9,Con count,8,AVS IS 758-781 1768 05 08.jpg,14,Claude,1,10,-4
naive,11,E conjunction count,8,AVS IS 758-781 1768 05 08.jpg,3,Claude,1,5,2
naive,13,Named travelers,8,AVS IS 758-781 1768 05 08.jpg,43,Claude,1,42,-1
naive,14,Unnamed travelers,8,AVS IS 758-781 1768 05 08.jpg,39,Claude,1,18,-21
naive,15,Places of origin,8,AVS IS 758-781 1768 05 08.jpg,19,Claude,1,12,-7
naive,16,Unique places of stay,8,AVS IS 758-781 1768 05 08.jpg,7,Claude,1,7,0
naive,18,Stay w/ person name,8,AVS IS 758-781 1768 05 08.jpg,1,Claude,1,1,0
naive,19,Bracket total,8,AVS IS 758-781 1768 05 08.jpg,6,Claude,1,8,2
naive,7,Archivist marks,14,AVS IS 758-781 1768 05 09 p1.jpg,0,Claude,1,0,0
naive,8,Quondam count,14,AVS IS 758-781 1768 05 09 p1.jpg,11,Claude,1,12,1
naive,9,Con count,14,AVS IS 758-781 1768 05 09 p1.jpg,5,Claude,1,5,0
naive,11,E conjunction count,14,AVS IS 758-781 1768 05 09 p1.jpg,3,Claude,1,4,1
naive,13,Named travelers,14,AVS IS 758-781 1768 05 09 p1.jpg,22,Claude,1,32,10
naive,14,Unnamed travelers,14,AVS IS 758-781 1768 05 09 p1.jpg,8,Claude,1,8,0
naive,15,Places of origin,14,AVS IS 758-781 1768 05 09 p1.jpg,10,Claude,1,12,2
naive,16,Unique places of stay,14,AVS IS 758-781 1768 05 09 p1.jpg,9,Claude,1,8,-1
naive,18,Stay w/ person name,14,AVS IS 758-781 1768 05 09 p1.jpg,12,Claude,1,10,-2
naive,19,Bracket total,14,AVS IS 758-781 1768 05 09 p1.jpg,0,Claude,1,0,0
naive,7,Archivist marks,13,AVS IS 758-781 1768 05 09 p2.jpg,0,Claude,1,0,0
naive,8,Quondam count,13,AVS IS 758-781 1768 05 09 p2.jpg,1,Claude,1,1,0
naive,9,Con count,13,AVS IS 758-781 1768 05 09 p2.jpg,1,Claude,1,1,0
naive,11,E conjunction count,13,AVS IS 758-781 1768 05 09 p2.jpg,0,Claude,1,0,0
naive,13,Named travelers,13,AVS IS 758-781 1768 05 09 p2.jpg,6,Claude,1,7,1
naive,14,Unnamed travelers,13,AVS IS 758-781 1768 05 09 p2.jpg,3,Claude,1,2,-1
naive,15,Places of origin,13,AVS IS 758-781 1768 05 09 p2.jpg,3,Claude,1,4,1
naive,16,Unique places of stay,13,AVS IS 758-781 1768 05 09 p2.jpg,2,Claude,1,3,1
naive,18,Stay w/ person name,13,AVS IS 758-781 1768 05 09 p2.jpg,1,Claude,1,1,0
naive,19,Bracket total,13,AVS IS 758-781 1768 05 09 p2.jpg,1,Claude,1,1,0
naive,7,Archivist marks,15,AVS IS 758-781 1768 05 09 p3.jpg,0,Claude,1,0,0
naive,8,Quondam count,15,AVS IS 758-781 1768 05 09 p3.jpg,2,Claude,1,0,-2
naive,9,Con count,15,AVS IS 758-781 1768 05 09 p3.jpg,1,Claude,1,1,0
naive,11,E conjunction count,15,AVS IS 758-781 1768 05 09 p3.jpg,0,Claude,1,0,0
naive,13,Named travelers,15,AVS IS 758-781 1768 05 09 p3.jpg,5,Claude,1,6,1
naive,14,Unnamed travelers,15,AVS IS 758-781 1768 05 09 p3.jpg,1,Claude,1,1,0
naive,15,Places of origin,15,AVS IS 758-781 1768 05 09 p3.jpg,5,Claude,1,5,0
naive,16,Unique places of stay,15,AVS IS 758-781 1768 05 09 p3.jpg,4,Claude,1,4,0
naive,18,Stay w/ person name,15,AVS IS 758-781 1768 05 09 p3.jpg,4,Claude,1,4,0
naive,19,Bracket total,15,AVS IS 758-781 1768 05 09 p3.jpg,0,Claude,1,0,0
naive,7,Archivist marks,16,AVS IS 758-781 1768 05 16.jpg,1,Claude,1,0,-1
naive,8,Quondam count,16,AVS IS 758-781 1768 05 16.jpg,7,Claude,1,6,-1
naive,9,Con count,16,AVS IS 758-781 1768 05 16.jpg,5,Claude,1,4,-1
naive,11,E conjunction count,16,AVS IS 758-781 1768 05 16.jpg,0,Claude,1,2,2
naive,13,Named travelers,16,AVS IS 758-781 1768 05 16.jpg,20,Claude,1,18,-2
naive,14,Unnamed travelers,16,AVS IS 758-781 1768 05 16.jpg,10,Claude,1,9,-1
naive,15,Places of origin,16,AVS IS 758-781 1768 05 16.jpg,7,Claude,1,8,1
naive,16,Unique places of stay,16,AVS IS 758-781 1768 05 16.jpg,7,Claude,1,6,-1
naive,18,Stay w/ person name,16,AVS IS 758-781 1768 05 16.jpg,5,Claude,1,5,0
naive,19,Bracket total,16,AVS IS 758-781 1768 05 16.jpg,3,Claude,1,5,2
naive,7,Archivist marks,21,AVS IS 758-781 1768 05.jpg,1,Claude,1,0,-1
naive,8,Quondam count,21,AVS IS 758-781 1768 05.jpg,3,Claude,1,2,-1
naive,9,Con count,21,AVS IS 758-781 1768 05.jpg,4,Claude,1,4,0
naive,11,E conjunction count,21,AVS IS 758-781 1768 05.jpg,5,Claude,1,6,1
naive,13,Named travelers,21,AVS IS 758-781 1768 05.jpg,27,Claude,1,28,1
naive,14,Unnamed travelers,21,AVS IS 758-781 1768 05.jpg,12,Claude,1,12,0
naive,15,Places of origin,21,AVS IS 758-781 1768 05.jpg,15,Claude,1,12,-3
naive,16,Unique places of stay,21,AVS IS 758-781 1768 05.jpg,9,Claude,1,8,-1
naive,18,Stay w/ person name,21,AVS IS 758-781 1768 05.jpg,4,Claude,1,4,0
naive,19,Bracket total,21,AVS IS 758-781 1768 05.jpg,6,Claude,1,6,0
naive,7,Archivist marks,17,AVS IS 758-781 1768 08 01.jpg,1,Claude,1,5,4
naive,8,Quondam count,17,AVS IS 758-781 1768 08 01.jpg,2,Claude,1,2,0
naive,9,Con count,17,AVS IS 758-781 1768 08 01.jpg,5,Claude,1,4,-1
naive,11,E conjunction count,17,AVS IS 758-781 1768 08 01.jpg,1,Claude,1,2,1
naive,13,Named travelers,17,AVS IS 758-781 1768 08 01.jpg,14,Claude,1,15,1
naive,14,Unnamed travelers,17,AVS IS 758-781 1768 08 01.jpg,23,Claude,1,23,0
naive,15,Places of origin,17,AVS IS 758-781 1768 08 01.jpg,7,Claude,1,6,-1
naive,16,Unique places of stay,17,AVS IS 758-781 1768 08 01.jpg,6,Claude,1,6,0
naive,18,Stay w/ person name,17,AVS IS 758-781 1768 08 01.jpg,3,Claude,1,4,1
naive,19,Bracket total,17,AVS IS 758-781 1768 08 01.jpg,1,Claude,1,2,1
naive,7,Archivist marks,18,AVS IS 758-781 1768 09.jpg,1,Claude,1,0,-1
naive,8,Quondam count,18,AVS IS 758-781 1768 09.jpg,6,Claude,1,8,2
naive,9,Con count,18,AVS IS 758-781 1768 09.jpg,3,Claude,1,4,1
naive,11,E conjunction count,18,AVS IS 758-781 1768 09.jpg,1,Claude,1,1,0
naive,13,Named travelers,18,AVS IS 758-781 1768 09.jpg,11,Claude,1,12,1
naive,14,Unnamed travelers,18,AVS IS 758-781 1768 09.jpg,5,Claude,1,6,1
naive,15,Places of origin,18,AVS IS 758-781 1768 09.jpg,5,Claude,1,6,1
naive,16,Unique places of stay,18,AVS IS 758-781 1768 09.jpg,4,Claude,1,4,0
naive,18,Stay w/ person name,18,AVS IS 758-781 1768 09.jpg,1,Claude,1,1,0
naive,19,Bracket total,18,AVS IS 758-781 1768 09.jpg,2,Claude,1,2,0
naive,7,Archivist marks,19,AVS IS 758-781 1768 11 07.jpg,0,Claude,1,0,0
naive,8,Quondam count,19,AVS IS 758-781 1768 11 07.jpg,2,Claude,1,2,0
naive,9,Con count,19,AVS IS 758-781 1768 11 07.jpg,7,Claude,1,7,0
naive,11,E conjunction count,19,AVS IS 758-781 1768 11 07.jpg,5,Claude,1,3,-2
naive,13,Named travelers,19,AVS IS 758-781 1768 11 07.jpg,26,Claude,1,24,-2
naive,14,Unnamed travelers,19,AVS IS 758-781 1768 11 07.jpg,15,Claude,1,15,0
naive,15,Places of origin,19,AVS IS 758-781 1768 11 07.jpg,14,Claude,1,12,-2
naive,16,Unique places of stay,19,AVS IS 758-781 1768 11 07.jpg,9,Claude,1,8,-1
naive,18,Stay w/ person name,19,AVS IS 758-781 1768 11 07.jpg,5,Claude,1,4,-1
naive,19,Bracket total,19,AVS IS 758-781 1768 11 07.jpg,3,Claude,1,6,3
naive,7,Archivist marks,20,AVS IS 758-781 1768 11 28.jpg,2,Claude,1,0,-2
naive,8,Quondam count,20,AVS IS 758-781 1768 11 28.jpg,2,Claude,1,4,2
naive,9,Con count,20,AVS IS 758-781 1768 11 28.jpg,7,Claude,1,6,-1
naive,11,E conjunction count,20,AVS IS 758-781 1768 11 28.jpg,0,Claude,1,0,0
naive,13,Named travelers,20,AVS IS 758-781 1768 11 28.jpg,22,Claude,1,24,2
naive,14,Unnamed travelers,20,AVS IS 758-781 1768 11 28.jpg,10,Claude,1,10,0
naive,15,Places of origin,20,AVS IS 758-781 1768 11 28.jpg,13,Claude,1,12,-1
naive,16,Unique places of stay,20,AVS IS 758-781 1768 11 28.jpg,8,Claude,1,8,0
naive,18,Stay w/ person name,20,AVS IS 758-781 1768 11 28.jpg,4,Claude,1,5,1
naive,19,Bracket total,20,AVS IS 758-781 1768 11 28.jpg,5,Claude,1,6,1
naive,7,Archivist marks,29,AVS IS 758-781 1769 05 p1.jpg,0,Claude,1,0,0
naive,8,Quondam count,29,AVS IS 758-781 1769 05 p1.jpg,4,Claude,1,4,0
naive,9,Con count,29,AVS IS 758-781 1769 05 p1.jpg,2,Claude,1,2,0
naive,11,E conjunction count,29,AVS IS 758-781 1769 05 p1.jpg,4,Claude,1,4,0
naive,13,Named travelers,29,AVS IS 758-781 1769 05 p1.jpg,13,Claude,1,14,1
naive,14,Unnamed travelers,29,AVS IS 758-781 1769 05 p1.jpg,6,Claude,1,3,-3
naive,15,Places of origin,29,AVS IS 758-781 1769 05 p1.jpg,2,Claude,1,3,1
naive,16,Unique places of stay,29,AVS IS 758-781 1769 05 p1.jpg,9,Claude,1,10,1
